timestamp_utc,channel,frequency_THz,piezo_V,current_mA
2026-03-03 15:32:26.557,8,434.829040,33.4015,90.1778
2026-03-03 15:32:27.053,8,434.829040,33.4015,90.1778
2026-03-03 15:32:27.545,8,434.829040,33.3610,90.1103
2026-03-03 15:32:28.038,8,434.829040,33.4555,90.1441
2026-03-03 15:32:28.536,8,434.829040,33.4015,90.1609
2026-03-03 15:32:29.048,8,434.829040,33.4690,90.1356
2026-03-03 15:32:29.540,8,434.829040,33.3880,90.1862
2026-03-03 15:32:30.036,8,434.829040,33.3880,90.1609
2026-03-03 15:32:30.531,8,434.829040,33.4285,90.1187
2026-03-03 15:32:31.031,8,434.829040,33.4420,90.1694
2026-03-03 15:32:31.525,8,434.829040,33.3880,90.1609
2026-03-03 15:32:32.030,8,434.829040,33.3880,90.1441
2026-03-03 15:32:32.536,8,434.829040,33.3880,90.1272
2026-03-03 15:32:33.050,8,434.829040,33.4420,90.1609
2026-03-03 15:32:33.552,8,434.829040,33.4285,90.1019
2026-03-03 15:32:34.052,8,434.829040,33.3880,90.1694
2026-03-03 15:32:34.551,8,434.829040,33.4015,90.1694
2026-03-03 15:32:35.061,8,434.829040,33.3880,90.1272
2026-03-03 15:32:35.561,8,434.829040,33.3880,90.1103
2026-03-03 15:32:36.067,8,434.829040,33.3880,90.1272
2026-03-03 15:32:36.568,8,434.829040,33.3475,90.1778
2026-03-03 15:32:37.078,8,434.829040,33.3610,90.1947
2026-03-03 15:32:37.586,8,434.829040,33.3745,90.1609
2026-03-03 15:32:38.098,8,434.829040,33.4015,90.1609
2026-03-03 15:32:38.614,8,434.829040,33.4015,90.1441
2026-03-03 15:32:39.116,8,434.829040,33.3745,90.1694
2026-03-03 15:32:39.614,8,434.829040,33.4015,90.1862
2026-03-03 15:32:40.134,8,434.829040,33.4150,90.1778
2026-03-03 15:32:40.628,8,434.829040,33.3880,90.1694
2026-03-03 15:32:41.136,8,434.829040,33.4150,90.1525
2026-03-03 15:32:41.646,8,434.829040,33.3745,90.1609
2026-03-03 15:32:42.163,8,434.829040,33.3610,90.1778
2026-03-03 15:32:42.665,8,434.829040,33.4015,90.1694
2026-03-03 15:32:43.175,8,434.829040,33.3610,90.1272
2026-03-03 15:32:43.667,8,434.829040,33.3745,90.1609
2026-03-03 15:32:44.164,8,434.829040,33.4015,90.1694
2026-03-03 15:32:44.665,8,434.829040,33.4015,90.1778
2026-03-03 15:32:45.170,8,434.829040,33.3880,90.1778
2026-03-03 15:32:45.671,8,434.829040,33.4015,90.1525
2026-03-03 15:32:46.169,8,434.829040,33.4015,90.1694
2026-03-03 15:32:46.668,8,434.829040,33.4150,90.1778
2026-03-03 15:32:47.171,8,434.829040,33.4015,90.1525
2026-03-03 15:32:47.682,8,434.829040,33.3880,90.1525
2026-03-03 15:32:48.196,8,434.829040,33.4015,90.1694
2026-03-03 15:32:48.697,8,434.829040,33.4285,90.1525
2026-03-03 15:32:49.195,8,434.829040,33.3745,90.1778
2026-03-03 15:32:49.696,8,434.829040,33.4690,90.1103
2026-03-03 15:32:50.263,8,434.829040,33.4015,90.1609
2026-03-03 15:32:50.813,8,434.829040,33.3880,90.1694
2026-03-03 15:32:51.355,8,434.829040,33.3880,90.1609
2026-03-03 15:32:51.898,8,434.829040,33.4150,90.2031
2026-03-03 15:32:52.439,8,434.829040,33.3880,90.1862
2026-03-03 15:32:52.975,8,434.829040,33.3745,90.1356
2026-03-03 15:32:53.484,8,434.829040,33.3340,90.1778
2026-03-03 15:32:53.993,8,434.829040,33.3880,90.1609
2026-03-03 15:32:54.503,8,434.829040,33.4150,90.1187
2026-03-03 15:32:55.018,8,434.829040,33.3745,90.1272
2026-03-03 15:32:55.537,8,434.829040,33.3610,90.1609
2026-03-03 15:32:56.048,8,434.829040,33.4015,90.1019
2026-03-03 15:32:56.565,8,434.829040,33.3745,90.1356
2026-03-03 15:32:57.064,8,434.829040,33.4690,90.1609
2026-03-03 15:32:57.564,8,434.829040,33.4690,90.1778
2026-03-03 15:32:58.061,8,434.829040,33.4015,90.1525
2026-03-03 15:32:58.568,8,434.829040,33.3610,90.1356
2026-03-03 15:32:59.068,8,434.829040,33.3880,90.1103
2026-03-03 15:32:59.571,8,434.829040,33.4015,90.1441
2026-03-03 15:33:00.080,8,434.829040,33.3880,90.2031
2026-03-03 15:33:00.577,8,434.829040,33.4015,90.1778
2026-03-03 15:33:01.092,8,434.829040,33.4015,90.1525
2026-03-03 15:33:01.598,8,434.829040,33.4015,90.1862
2026-03-03 15:33:02.103,8,434.829040,33.3880,90.1778
2026-03-03 15:33:02.612,8,434.829040,33.3745,90.1778
2026-03-03 15:33:03.132,8,434.829040,33.4015,90.1862
2026-03-03 15:33:03.636,8,434.829040,33.4015,90.1356
2026-03-03 15:33:04.143,8,434.829040,33.3475,90.1356
2026-03-03 15:33:04.638,8,434.829040,33.3880,90.1778
2026-03-03 15:33:05.151,8,434.829040,33.4015,90.1356
2026-03-03 15:33:05.667,8,434.829040,33.4015,90.1609
2026-03-03 15:33:06.175,8,434.829040,33.4015,90.1272
2026-03-03 15:33:06.679,8,434.829040,33.3880,90.1103
2026-03-03 15:33:07.186,8,434.829040,33.3745,90.1609
2026-03-03 15:33:07.692,8,434.829040,33.3880,90.1356
2026-03-03 15:33:08.197,8,434.829040,33.3610,90.1441
2026-03-03 15:33:08.698,8,434.829040,33.4420,90.1609
2026-03-03 15:33:09.195,8,434.829040,33.3880,90.1525
2026-03-03 15:33:09.687,8,434.829040,33.4015,90.1947
2026-03-03 15:33:10.181,8,434.829040,33.3880,90.1356
2026-03-03 15:33:10.681,8,434.829040,33.3475,90.1694
2026-03-03 15:33:11.180,8,434.829040,33.3610,90.1609
2026-03-03 15:33:11.673,8,434.829040,33.3880,90.1862
2026-03-03 15:33:12.171,8,434.829040,33.3880,90.1778
2026-03-03 15:33:12.676,8,434.829040,33.4015,90.1609
2026-03-03 15:33:13.180,8,434.829040,33.4015,90.1441
2026-03-03 15:33:13.756,8,434.829040,33.3880,90.1694
2026-03-03 15:33:14.313,8,434.829040,33.4015,90.1272
2026-03-03 15:33:14.863,8,434.829040,33.3880,90.1778
2026-03-03 15:33:15.415,8,434.829040,33.4015,90.1356
2026-03-03 15:33:15.959,8,434.829040,33.4420,90.1778
2026-03-03 15:33:16.474,8,434.829040,33.4015,90.1862
2026-03-03 15:33:16.974,8,434.829040,33.3880,90.1694
2026-03-03 15:33:17.477,8,434.829040,33.3880,90.1862
2026-03-03 15:33:17.986,8,434.829040,33.3880,90.1694
2026-03-03 15:33:18.497,8,434.829040,33.4015,90.1441
2026-03-03 15:33:18.998,8,434.829040,33.4015,90.1694
2026-03-03 15:33:19.501,8,434.829040,33.3475,90.1272
2026-03-03 15:33:20.020,8,434.829040,33.3745,90.1525
2026-03-03 15:33:20.521,8,434.829040,33.3880,90.1525
2026-03-03 15:33:21.021,8,434.829040,33.3880,90.1694
2026-03-03 15:33:21.532,8,434.829040,33.4285,90.1609
2026-03-03 15:33:22.044,8,434.829040,33.4015,90.1862
2026-03-03 15:33:22.544,8,434.829040,33.4015,90.1609
2026-03-03 15:33:23.047,8,434.829040,33.4015,90.1272
2026-03-03 15:33:23.556,8,434.829040,33.4150,90.1272
2026-03-03 15:33:24.052,8,434.829040,33.4285,90.1525
2026-03-03 15:33:24.553,8,434.829040,33.3745,90.1947
2026-03-03 15:33:25.065,8,434.829040,33.3745,90.1609
2026-03-03 15:33:25.561,8,434.829040,33.4015,90.1862
2026-03-03 15:33:26.062,8,434.829040,33.3880,90.1609
2026-03-03 15:33:26.559,8,434.829040,33.3340,90.1441
2026-03-03 15:33:27.053,8,434.829040,33.4150,90.1187
2026-03-03 15:33:27.548,8,434.829040,33.3340,90.1609
2026-03-03 15:33:28.041,8,434.829040,33.4015,90.1441
2026-03-03 15:33:28.542,8,434.829040,33.3880,90.1525
2026-03-03 15:33:29.035,8,434.829040,33.3880,90.1525
2026-03-03 15:33:29.542,8,434.829040,33.3880,90.1778
2026-03-03 15:33:30.032,8,434.829040,33.3880,90.1356
2026-03-03 15:33:30.529,8,434.829040,33.4015,90.1862
2026-03-03 15:33:31.023,8,434.829040,33.4015,90.1609
2026-03-03 15:33:31.514,8,434.829040,33.3610,90.1609
2026-03-03 15:33:32.016,8,434.829040,33.4015,90.1609
2026-03-03 15:33:32.518,8,434.829040,33.3880,90.1356
2026-03-03 15:33:33.027,8,434.829040,33.3745,90.1272
2026-03-03 15:33:33.527,8,434.829040,33.3745,90.1862
2026-03-03 15:33:34.032,8,434.829040,33.3610,90.1272
2026-03-03 15:33:34.533,8,434.829040,33.4015,90.1694
2026-03-03 15:33:35.029,8,434.829040,33.4555,90.1525
2026-03-03 15:33:35.521,8,434.829040,33.4015,90.1862
2026-03-03 15:33:36.013,8,434.829040,33.3340,90.1356
2026-03-03 15:33:36.508,8,434.829040,33.4015,90.1778
2026-03-03 15:33:37.016,8,434.829040,33.3880,90.1525
2026-03-03 15:33:37.532,8,434.829040,33.3880,90.1778
2026-03-03 15:33:38.036,8,434.829040,33.4015,90.1862
2026-03-03 15:33:38.546,8,434.829040,33.4015,90.1272
2026-03-03 15:33:39.061,8,434.829040,33.3880,90.1525
2026-03-03 15:33:39.566,8,434.829040,33.4420,90.1609
2026-03-03 15:33:40.061,8,434.829040,33.3880,90.1694
2026-03-03 15:33:40.562,8,434.829040,33.4285,90.1525
2026-03-03 15:33:41.063,8,434.829040,33.4285,90.1694
2026-03-03 15:33:41.569,8,434.829040,33.3745,90.1272
2026-03-03 15:33:42.081,8,434.829040,33.4015,90.1609
2026-03-03 15:33:42.578,8,434.829040,33.4015,90.1441
2026-03-03 15:33:43.086,8,434.829040,33.3880,90.1525
2026-03-03 15:33:43.586,8,434.829040,33.3610,90.1609
2026-03-03 15:33:44.097,8,434.829040,33.3880,90.1778
2026-03-03 15:33:44.594,8,434.829040,33.4015,90.1609
2026-03-03 15:33:45.114,8,434.829040,33.3880,90.1356
2026-03-03 15:33:45.613,8,434.829040,33.3880,90.1441
2026-03-03 15:33:46.120,8,434.829040,33.4420,90.1356
2026-03-03 15:33:46.627,8,434.829040,33.4015,90.1862
2026-03-03 15:33:47.135,8,434.829040,33.3745,90.1525
2026-03-03 15:33:47.638,8,434.829040,33.4015,90.1525
2026-03-03 15:33:48.151,8,434.829040,33.4285,90.1525
2026-03-03 15:33:48.661,8,434.829040,33.4015,90.1947
2026-03-03 15:33:49.163,8,434.829040,33.4015,90.1441
2026-03-03 15:33:49.669,8,434.829040,33.3880,90.1947
2026-03-03 15:33:50.176,8,434.829040,33.4015,90.1441
2026-03-03 15:33:50.679,8,434.829040,33.3880,90.1778
2026-03-03 15:33:51.191,8,434.829040,33.4015,90.1694
2026-03-03 15:33:51.696,8,434.829040,33.3745,90.1019
2026-03-03 15:33:52.251,8,434.829040,33.3745,90.1609
2026-03-03 15:33:52.808,8,434.829040,33.4015,90.1187
2026-03-03 15:33:53.353,8,434.829040,33.4285,90.1778
2026-03-03 15:33:53.897,8,434.829040,33.3880,90.1441
2026-03-03 15:33:54.461,8,434.829040,33.4015,90.1441
2026-03-03 15:33:54.974,8,434.829040,33.4015,90.1272
2026-03-03 15:33:55.479,8,434.829040,33.4150,90.1862
2026-03-03 15:33:55.986,8,434.829040,33.4285,90.1103
2026-03-03 15:33:56.482,8,434.829040,33.3880,90.1778
2026-03-03 15:33:56.997,8,434.829040,33.3745,90.1694
2026-03-03 15:33:57.492,8,434.829040,33.3880,90.1778
2026-03-03 15:33:57.995,8,434.829040,33.3475,90.1356
2026-03-03 15:33:58.501,8,434.829040,33.4285,90.1778
2026-03-03 15:33:59.015,8,434.829040,33.3745,90.1525
2026-03-03 15:33:59.518,8,434.829040,33.4015,90.1778
2026-03-03 15:34:00.023,8,434.829040,33.3610,90.2031
2026-03-03 15:34:00.527,8,434.829040,33.3745,90.1694
2026-03-03 15:34:01.034,8,434.829040,33.3880,90.1356
2026-03-03 15:34:01.547,8,434.829040,33.4015,90.1778
2026-03-03 15:34:02.056,8,434.829040,33.3880,90.1947
2026-03-03 15:34:02.560,8,434.829040,33.4285,90.1441
2026-03-03 15:34:03.066,8,434.829040,33.3880,90.1525
2026-03-03 15:34:03.563,8,434.829040,33.4285,90.1525
2026-03-03 15:34:04.061,8,434.829040,33.3610,90.1694
2026-03-03 15:34:04.582,8,434.829040,33.3610,90.1778
2026-03-03 15:34:05.081,8,434.829040,33.3880,90.1862
2026-03-03 15:34:05.587,8,434.829040,33.3880,90.1103
2026-03-03 15:34:06.095,8,434.829040,33.3340,90.1609
2026-03-03 15:34:06.597,8,434.829040,33.4015,90.1441
2026-03-03 15:34:07.117,8,434.829040,33.3745,90.1694
2026-03-03 15:34:07.613,8,434.829040,33.3880,90.1525
2026-03-03 15:34:08.130,8,434.829040,33.4015,90.1694
2026-03-03 15:34:08.634,8,434.829040,33.4285,90.1356
2026-03-03 15:34:09.144,8,434.829040,33.3745,90.1272
2026-03-03 15:34:09.647,8,434.829040,33.3340,90.1441
